Resolution,ScreenSize,NumberOfReview,main_camera_mp,num_cameras,has_telephoto,has_ultrawide,has_ois,has_warranty,is_new_product,has_original_accessories
720x1612,6.56,6.0,8.0,1.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1170x2532,6.1,0.0,12.0,2.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1220x2712,6.67,160.0,108.0,3.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1080x2408,6.6,8.0,50.0,4.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1284x2778,6.7,173.0,12.0,3.0,Có camera tele,Có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
720x1600,6.7,12.0,50.0,2.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1116x2480,6.8,2.0,50.0,3.0,Không có camera tele,Không có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
2304x1440,10.9,,13.0,1.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1768x2208,7.6,16.0,12.0,4.0,Có camera tele,Có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1440x3120,6.7,,50.0,3.0,Có camera tele,Có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1080x2340,6.7,13.0,50.0,3.0,Không có camera tele,Có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
720x1640,6.9,,50.0,2.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
2x2268,7.82,,64.0,3.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1080x2400,6.73,,50.38,4.0,Có camera tele,Có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
2796x1290,6.7,116.0,48.0,3.0,Có camera tele,Có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1220x2712,6.67,30.0,50.0,1.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
1080x2340,6.5,15.0,50.0,3.0,Không có camera tele,Có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
,,,64.0,1.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
2622x1206,6.3,,48.0,3.0,Có camera tele,Có camera siêu rộng,Có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
,6.67,11.0,13.0,1.0,Không có camera tele,Không có camera siêu rộng,Không có chống rung OIS,Không có bảo hành,Sản phẩm mới,Đầy đủ phụ kiện
